City,avg_temp_jan,avg_temp_apr,avg_temp_jul,avg_temp_oct,avg_annual_percipitation        ,avg_percipitation_days
"Atlanta, Ga.",42.7,61.6,80,62.8,50.2,115
"Baltimore, Md.",32.3,53.2,76.5,55.4,41.94,115
"Boston, Mass.",29.3,48.3,73.9,54.1,42.53,127
"Chicago, Ill.",22,47.8,73.3,52.1,36.27,125
"Cleveland, Ohio",25.7,47.6,71.9,52.2,38.71,155
"Dallas-Ft. Worth, Texas",44.1,65,85,67.2,34.73,79
"Denver, Colo.",29.2,47.6,73.4,51,15.81,89
"Detroit, Mich.",24.5,48.1,73.5,51.9,32.89,135
"Houston, Texas",51.8,68.5,83.6,70.4,47.84,105
"Kansas City, Mo.",26.9,54.4,78.5,56.8,37.98,104
"Las Vegas, Nev.",47,66,91.2,68.7,4.49,26
"Long Beach, Calif.",57,63,73.8,68.6,12.94,31
"Los Angeles, Calif.",57.1,60.8,69.3,66.9,13.15,35
"Miami, Fla.",68.1,75.7,83.7,78.8,58.53,131
"Minneapolisâ€“St. Paul, Minn.",13.1,46.6,73.2,48.7,29.41,115
"New York, N.Y.",32.1,52.5,76.5,56.6,49.69,121
"Philadelphia, Pa.",32.3,53.1,77.6,57.2,42.05,117
"Phoenix, Ariz.",54.2,70.2,92.8,74.6,8.29,36
"Portland, Ore.",39.9,51.2,68.1,54.3,37.07,153
"Sacramento, Calif.",46.3,58.9,75.4,64.4,17.93,58
"San Antonio, Texas",50.3,68.6,84.3,70.7,32.92,82
"San Diego, Calif.",57.8,62.6,70.9,67.6,10.77,41
"San Francisco, Calif.",49.4,56.2,62.8,61,20.11,63
"Seattle-Tacoma, Wash.",40.9,50.2,65.3,52.7,37.07,155
"Washington, D.C.",34.9,56.1,79.2,58.8,39.35,113